Beer Style SRM Color Ranges,
Style,SRM Range
Pilsner,2 - 7
"Witbier, Berliner Weisse",2 - 4
Belgian Strong Ale,4 - 7
Maibock,4 - 10
Vienna Lager,7 - 14
Oktoberfest,4 - 12
American Pale Ale, 6 - 14
Pale Ale,5 - 14
English Golden Ale,4 - 8
Bavarian Weizen,4 - 10
"Bitter, ESB",8 - 14
Märzen,7 - 15
Imperial Pale Ale,5 - 11
Bière de Garde,6 - 13
Dunkel Weizen,9 - 13
Amber Ale,11  - 18
English Brown Ale,12 - 22
Bock,15 - 30
Porter,20 - 40
Oatmeal Stout,25 - 40
Baltic Porter,17 - 40
Foreign Stout,30 - 65
Imperial Stout,50 - 80
Source: Tasting Beer by Randy Mosher,
